"","year","a_author_fraction","N","Internationale_Politik","Sicherheitspolitik","Europapolitik","Wirtschaft","Beschäftigung_Arbeit","Landwirtschaft","Finanzwesen","Steuer","Soziale_Fragen","Migration","Sozialer_Schutz","Gesundheit","Raumplanung_Wohnungswesen","Kultur","Bildung","Wissenschaft_Forschung","Medien_Kommunikation","Verkehr","Umwelt","Energie","Staatspolitik","Parlament","Recht_allgemein","Zivilrecht","Strafrecht","Gerichtswesen","Internationales_Recht","Menschenrechte"
"83","2007","Fraktion CVP/EVP/glp",29,0,10.3448275862069,0,20.6896551724138,NA,3.44827586206897,3.44827586206897,NA,10.3448275862069,6.89655172413793,NA,13.7931034482759,0,0,10.3448275862069,6.89655172413793,3.44827586206897,13.7931034482759,6.89655172413793,3.44827586206897,10.3448275862069,0,6.89655172413793,NA,NA,NA,NA,NA
"84","2007","Fraktion der Schweizerischen Volkspartei",331,6.34441087613293,12.6888217522659,3.62537764350453,4.83383685800604,NA,4.53172205438066,8.1570996978852,NA,10.8761329305136,5.4380664652568,NA,6.64652567975831,0.604229607250755,0,1.51057401812689,1.51057401812689,4.22960725075529,16.6163141993958,7.25075528700906,4.22960725075529,7.85498489425982,2.7190332326284,8.45921450151057,NA,NA,NA,NA,NA
"85","2007","Fraktionslos",35,2.85714285714286,5.71428571428571,5.71428571428571,5.71428571428571,NA,5.71428571428571,5.71428571428571,NA,11.4285714285714,11.4285714285714,NA,28.5714285714286,2.85714285714286,0,0,0,11.4285714285714,11.4285714285714,0,0,8.57142857142857,0,11.4285714285714,NA,NA,NA,NA,NA
"86","2007","Freisinnig-demokratische Fraktion",198,4.54545454545455,2.02020202020202,5.05050505050505,11.6161616161616,NA,6.56565656565657,9.5959595959596,NA,12.1212121212121,1.51515151515152,NA,12.1212121212121,3.53535353535354,2.02020202020202,3.53535353535354,2.02020202020202,9.09090909090909,10.1010101010101,6.06060606060606,5.05050505050505,9.09090909090909,2.02020202020202,6.06060606060606,NA,NA,NA,NA,NA
"87","2007","Grüne Fraktion",203,10.3448275862069,13.3004926108374,0.492610837438424,6.89655172413793,NA,5.41871921182266,2.46305418719212,NA,8.3743842364532,4.92610837438424,NA,9.85221674876847,0.985221674876847,0.985221674876847,2.95566502463054,0.985221674876847,0.492610837438424,11.8226600985222,17.7339901477833,8.3743842364532,7.38916256157635,1.97044334975369,9.85221674876847,NA,NA,NA,NA,NA
"88","2007","Sozialdemokratische Fraktion",496,5.64516129032258,7.86290322580645,2.82258064516129,9.2741935483871,NA,1.20967741935484,9.67741935483871,NA,12.2983870967742,1.00806451612903,NA,15.1209677419355,0.604838709677419,2.01612903225806,4.43548387096774,0.604838709677419,2.82258064516129,8.87096774193548,7.25806451612903,7.86290322580645,13.9112903225806,1.81451612903226,6.65322580645161,NA,NA,NA,NA,NA
"90","2008","FDP-Liberale Fraktion",42,2.38095238095238,2.38095238095238,2.38095238095238,16.6666666666667,NA,0,14.2857142857143,NA,9.52380952380952,0,NA,14.2857142857143,2.38095238095238,0,4.76190476190476,7.14285714285714,9.52380952380952,9.52380952380952,7.14285714285714,9.52380952380952,2.38095238095238,0,9.52380952380952,NA,NA,NA,NA,NA
"91","2008","Fraktion CVP/EVP/glp",269,1.11524163568773,5.57620817843866,2.97397769516729,9.29368029739777,NA,4.83271375464684,11.1524163568773,NA,15.6133828996283,3.71747211895911,NA,14.8698884758364,2.97397769516729,1.11524163568773,3.71747211895911,1.11524163568773,3.71747211895911,16.3568773234201,7.0631970260223,5.94795539033457,4.83271375464684,1.85873605947955,6.69144981412639,NA,NA,NA,NA,NA
"92","2008","Fraktion der Schweizerischen Volkspartei",448,6.02678571428571,14.0625,4.24107142857143,5.58035714285714,NA,8.70535714285714,12.9464285714286,NA,6.91964285714286,6.25,NA,6.02678571428571,1.11607142857143,1.11607142857143,2.45535714285714,0.446428571428571,3.125,13.8392857142857,4.6875,4.6875,8.92857142857143,2.00892857142857,5.13392857142857,NA,NA,NA,NA,NA
"93","2008","Fraktionslos",17,23.5294117647059,11.7647058823529,5.88235294117647,0,NA,5.88235294117647,17.6470588235294,NA,5.88235294117647,5.88235294117647,NA,11.7647058823529,5.88235294117647,5.88235294117647,0,0,0,0,11.7647058823529,5.88235294117647,5.88235294117647,0,11.7647058823529,NA,NA,NA,NA,NA
