"","year","a_council","N","Internationale_Politik","Sicherheitspolitik","Europapolitik","Wirtschaft","Beschäftigung_Arbeit","Landwirtschaft","Finanzwesen","Steuer","Soziale_Fragen","Migration","Sozialer_Schutz","Gesundheit","Raumplanung_Wohnungswesen","Kultur","Bildung","Wissenschaft_Forschung","Medien_Kommunikation","Verkehr","Umwelt","Energie","Staatspolitik","Parlament","Recht_allgemein","Zivilrecht","Strafrecht","Gerichtswesen","Internationales_Recht","Menschenrechte"
"32","2003","Ständerat",115,8.69565217391304,2.60869565217391,3.47826086956522,12.1739130434783,NA,5.21739130434783,12.1739130434783,NA,10.4347826086957,3.47826086956522,NA,10.4347826086957,2.60869565217391,0.869565217391304,4.34782608695652,1.73913043478261,3.47826086956522,12.1739130434783,6.08695652173913,1.73913043478261,9.56521739130435,10.4347826086957,3.47826086956522,NA,NA,NA,NA,NA
"34","2003","Bundesrat",73,12.3287671232877,12.3287671232877,5.47945205479452,9.58904109589041,NA,1.36986301369863,17.8082191780822,NA,6.84931506849315,4.10958904109589,NA,2.73972602739726,1.36986301369863,4.10958904109589,5.47945205479452,1.36986301369863,4.10958904109589,6.84931506849315,0,0,8.21917808219178,0,10.958904109589,NA,NA,NA,NA,NA
"35","2003","Volksinitiative",2,0,0,0,0,NA,0,50,NA,0,0,NA,0,0,0,0,0,50,0,0,0,0,0,0,NA,NA,NA,NA,NA
"36","2004","Nationalrat",1249,7.20576461168935,9.84787830264211,2.96236989591673,12.4899919935949,NA,4.16333066453163,8.80704563650921,NA,10.1681345076061,4.32345876701361,NA,8.80704563650921,2.88230584467574,2.48198558847078,4.32345876701361,1.76140912730184,4.64371497197758,12.5700560448359,7.44595676541233,1.60128102481986,9.04723779023219,2.80224179343475,7.92634107285829,NA,NA,NA,NA,NA
"37","2004","Ständerat",123,4.0650406504065,6.50406504065041,6.50406504065041,18.6991869918699,NA,4.8780487804878,14.6341463414634,NA,8.94308943089431,4.0650406504065,NA,5.69105691056911,1.6260162601626,1.6260162601626,3.2520325203252,0.813008130081301,4.8780487804878,10.5691056910569,8.13008130081301,0,7.31707317073171,8.13008130081301,6.50406504065041,NA,NA,NA,NA,NA
"38","2004","Bundesrat",75,8,10.6666666666667,9.33333333333333,16,NA,2.66666666666667,17.3333333333333,NA,2.66666666666667,1.33333333333333,NA,12,0,0,2.66666666666667,0,2.66666666666667,12,8,1.33333333333333,10.6666666666667,1.33333333333333,10.6666666666667,NA,NA,NA,NA,NA
"39","2004","Volksinitiative",3,0,0,0,0,NA,33.3333333333333,0,NA,33.3333333333333,0,NA,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,NA,NA,NA,NA,NA
"40","2005","Nationalrat",1348,9.64391691394659,11.5727002967359,3.486646884273,10.6824925816024,NA,3.93175074183976,10.1632047477745,NA,9.27299703264095,4.08011869436202,NA,10.8308605341246,1.78041543026706,2.1513353115727,3.93175074183976,1.48367952522255,4.3026706231454,9.12462908011869,7.93768545994065,2.9673590504451,9.86646884272997,2.00296735905045,5.6379821958457,NA,NA,NA,NA,NA
"41","2005","Ständerat",135,6.66666666666667,6.66666666666667,4.44444444444444,14.8148148148148,NA,2.22222222222222,16.2962962962963,NA,8.14814814814815,1.48148148148148,NA,8.88888888888889,1.48148148148148,0.740740740740741,7.40740740740741,2.96296296296296,3.7037037037037,14.0740740740741,5.92592592592593,0.740740740740741,9.62962962962963,5.92592592592593,5.92592592592593,NA,NA,NA,NA,NA
"42","2005","Bundesrat",74,8.10810810810811,12.1621621621622,5.40540540540541,12.1621621621622,NA,2.7027027027027,14.8648648648649,NA,12.1621621621622,0,NA,2.7027027027027,1.35135135135135,1.35135135135135,0,2.7027027027027,0,6.75675675675676,4.05405405405405,1.35135135135135,4.05405405405405,1.35135135135135,21.6216216216216,NA,NA,NA,NA,NA
"43","2005","Volksinitiative",3,0,0,0,0,NA,0,0,NA,0,0,NA,66.6666666666667,0,0,0,0,0,0,0,0,33.3333333333333,0,0,NA,NA,NA,NA,NA
"44","2006","Nationalrat",1352,8.43195266272189,8.72781065088757,3.99408284023669,13.5355029585799,NA,3.10650887573965,6.65680473372781,NA,9.5414201183432,5.54733727810651,NA,9.46745562130178,1.33136094674556,1.99704142011834,3.55029585798817,2.51479289940828,4.06804733727811,10.2810650887574,7.61834319526627,3.77218934911243,8.50591715976331,3.18047337278107,10.5029585798817,NA,NA,NA,NA,NA
"45","2006","Ständerat",124,6.45161290322581,4.03225806451613,4.83870967741935,15.3225806451613,NA,4.03225806451613,8.87096774193548,NA,10.4838709677419,1.61290322580645,NA,10.4838709677419,0.806451612903226,1.61290322580645,8.06451612903226,4.03225806451613,7.25806451612903,11.2903225806452,6.45161290322581,3.2258064516129,6.45161290322581,5.64516129032258,10.4838709677419,NA,NA,NA,NA,NA
"46","2006","Bundesrat",91,13.1868131868132,7.69230769230769,3.2967032967033,6.59340659340659,NA,2.1978021978022,21.978021978022,NA,6.59340659340659,3.2967032967033,NA,1.0989010989011,1.0989010989011,4.3956043956044,1.0989010989011,1.0989010989011,2.1978021978022,6.59340659340659,2.1978021978022,1.0989010989011,5.49450549450549,2.1978021978022,20.8791208791209,NA,NA,NA,NA,NA
"47","2006","Volksinitiative",6,0,16.6666666666667,0,0,NA,0,0,NA,16.6666666666667,16.6666666666667,NA,33.3333333333333,0,0,0,0,0,0,0,0,16.6666666666667,0,16.6666666666667,NA,NA,NA,NA,NA
